,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Explanation,Reference
TBC1D4,0,1.213828118,0.606,0.203,0,,,
NRIP1,0,1.752431234,0.577,0.175,0,,,
FOXO1,0,1.55400628,0.799,0.398,0,,,
FLRT2,0,-4.058998589,0.132,0.532,0,,,
TMEM131L,0,1.395423263,0.654,0.255,0,,,
TUSC5,0,4.368410806,0.411,0.012,0,,,
UGP2,0,1.67786765,0.695,0.297,0,,,
ABCD2,0,2.804233603,0.451,0.054,0,,,
HK2,0,4.255864947,0.415,0.018,0,,,
ITSN1,0,1.136909097,0.847,0.45,0,,,
PRKAG2,0,1.168005373,0.707,0.31,0,,,
ECHDC2,0,0.939069162,0.808,0.412,0,,,
HADH,0,2.425197012,0.463,0.067,0,,,
SPATA9,0,4.203721966,0.417,0.022,0,,,
ATP9A,0,1.694374325,0.524,0.131,0,,,
ADH1B,0,1.738967847,0.812,0.42,0,,,
NRP1,0,0.294652266,0.686,0.294,0,,,
CCDC3,0,3.432185169,0.449,0.057,0,,,
USP33,0,1.256697823,0.744,0.352,0,,,
AC007319.1,0,0.912614152,0.666,0.275,0,,,
LIMS1,0,1.469014286,0.627,0.236,0,,,
TSGA10,0,2.055359543,0.505,0.114,0,,,
RNF150,0,1.158713328,0.632,0.242,0,,,
CPED1,0,1.041265327,0.651,0.262,0,,,
ELL2,0,1.868806291,0.501,0.112,0,,,
EPB41L2,0,0.670236248,0.743,0.354,0,,,
ADHFE1,0,2.198004921,0.474,0.086,0,,,
AC011247.1,0,4.040836831,0.408,0.021,0,,,
TCF7L2,0,1.238735632,0.847,0.46,0,,,
PYGL,0,1.684719646,0.56,0.174,0,,,
Z99289.1,0,1.48969515,0.606,0.22,0,,,
MAST4,0,1.120194811,0.899,0.515,0,,,
ABHD5,0,2.542400894,0.465,0.082,0,,,
EMP1,0,1.447646142,0.645,0.264,0,,,
LINC00968,0,5.255053681,0.4,0.021,0,,,
LSAMP,0,-4.214279712,0.128,0.507,0,,,
AC005699.1,0,-5.822590274,0.047,0.425,0,,,
EPB41,0,1.299705776,0.576,0.198,0,,,
C1QTNF7,0,2.074736616,0.48,0.103,0,,,
ABCA1,0,0.999772151,0.691,0.314,0,,,
RNPC3,0,1.138674846,0.708,0.331,0,,,
CARMIL1,0,-2.656250496,0.222,0.597,0,,,
NTRK2,0,2.56777101,0.423,0.048,0,,,
CDH20,0,4.394608962,0.391,0.017,0,,,
MRAS,0,2.806413869,0.422,0.048,0,,,
FRMD4B,0,-3.958387041,0.106,0.479,0,,,
APBB1IP,0,1.019632972,0.558,0.186,0,,,
PKHD1L1,0,-4.012915986,0.173,0.545,0,,,
AC211433.1,0,1.237456569,0.572,0.2,0,,,
PLPP1,0,0.869087803,0.677,0.306,0,,,
INSR,0,0.993411322,0.652,0.282,0,,,
APCDD1,0,2.598933214,0.438,0.068,0,,,
C19orf12,0,2.379372208,0.44,0.07,0,,,
IRS1,0,2.870424789,0.419,0.049,0,,,
LRRIQ3,0,4.546145649,0.38,0.01,0,,,
PRKCH,0,1.142543965,0.52,0.15,0,,,
RAPGEF4,0,2.37301213,0.414,0.045,0,,,
AC087482.1,0,4.402546044,0.38,0.012,0,,,
NET1,0,2.509805947,0.422,0.054,0,,,
GCLC,0,2.586314421,0.441,0.077,0,,,
ANGPTL4,0,2.170334359,0.454,0.091,0,,,
MARK1,0,2.192829954,0.422,0.059,0,,,
PLCB1,0,-3.563391413,0.303,0.665,0,,,
YAP1,0,0.947922217,0.671,0.311,0,,,
AL359220.1,0,2.708827335,0.408,0.048,0,,,
TPRG1,0,1.487164577,0.495,0.135,0,,,
AC084871.1,0,4.113089653,0.38,0.021,0,,,
CLSTN2,0,3.200161636,0.402,0.044,0,,,
AC025470.2,0,5.298295606,0.365,0.007,0,,,
ADCY5,0,3.921985468,0.373,0.015,0,,,
C1orf132,0,0.980445046,0.625,0.267,0,,,
UPP2,0,3.31479704,0.401,0.044,0,,,
AP000561.1,0,-4.255811224,0.131,0.488,0,,,
HILPDA,0,3.991748926,0.378,0.021,0,,,
LINC02360,0,-4.575421882,0.077,0.434,0,,,
TPM1,0,-3.396588252,0.142,0.498,0,,,
HACD2,0,2.128387574,0.458,0.103,0,,,
PTPRG,0,0.821978445,0.839,0.485,0,,,
PEX11A,0,2.853825407,0.396,0.043,0,,,
DAPK1,0,-3.382616744,0.218,0.571,0,,,
PDGFC,0,0.448109667,0.605,0.252,0,,,
THSD4,0,-4.371185936,0.086,0.439,0,,,
