,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Explanation,Reference
CMC1,1.20E-28,-0.382665088,0.25,0.178,3.36E-24,,,
CCT5,1.23E-28,-0.264881084,0.127,0.085,3.44E-24,,,
ADH1A,1.28E-28,0.112465313,0.033,0.016,3.60E-24,,,
AL160236.2,1.31E-28,0.128504932,0.035,0.017,3.67E-24,,,
TNFRSF11A,1.33E-28,-3.043780446,0.008,0.029,3.71E-24,,,
DSTYK,1.39E-28,-1.339194935,0.111,0.148,3.89E-24,,,
SIX5,1.39E-28,0.201541582,0.034,0.016,3.89E-24,,,
C19orf70,1.40E-28,-0.131519486,0.071,0.042,3.91E-24,,,
HSP90B1,1.40E-28,-1.043491592,0.261,0.281,3.93E-24,,,
AC107029.1,1.40E-28,0.927423343,0.012,0.003,3.93E-24,,,
POMZP3,1.43E-28,-0.246126296,0.076,0.046,4.02E-24,,,
LRRIQ1,1.47E-28,-2.59163101,0.012,0.033,4.13E-24,,,
WAPL,1.49E-28,-0.312370265,0.289,0.208,4.16E-24,,,
PLEKHG7,1.58E-28,0.668214354,0.016,0.005,4.42E-24,,,
NUP153,1.59E-28,-0.348253117,0.256,0.183,4.46E-24,,,
AL354794.1,1.60E-28,-3.469846658,0.003,0.02,4.50E-24,,,
CENPC,1.63E-28,-0.242527752,0.462,0.333,4.57E-24,,,
LINC01948,1.67E-28,-3.388373335,0.004,0.021,4.69E-24,,,
LINC00630,1.70E-28,-0.299958464,0.133,0.089,4.76E-24,,,
TIE1,1.71E-28,-2.843875671,0.015,0.038,4.78E-24,,,
KIAA1211,1.71E-28,-3.022414863,0.009,0.03,4.79E-24,,,
ITGA2,1.77E-28,-2.512482197,0.014,0.036,4.96E-24,,,
RASIP1,1.77E-28,-3.082569174,0.007,0.026,4.96E-24,,,
PRR3,1.79E-28,-0.232277806,0.104,0.067,5.02E-24,,,
GUCD1,1.82E-28,0.122651156,0.043,0.022,5.10E-24,,,
PRKCA,1.83E-28,-1.264752023,0.209,0.237,5.13E-24,,,
LINC01094,1.85E-28,-3.140793285,0.005,0.023,5.19E-24,,,
SH3BP2,1.86E-28,-1.764771707,0.032,0.06,5.21E-24,,,
PSMB2,1.88E-28,-0.199732264,0.119,0.079,5.25E-24,,,
KNSTRN,1.91E-28,0.324679946,0.032,0.015,5.34E-24,,,
ENSA,1.94E-28,-0.323067024,0.284,0.205,5.43E-24,,,
AP006621.4,1.98E-28,-2.884203868,0.003,0.02,5.56E-24,,,
RARG,2.12E-28,-1.970582542,0.023,0.05,5.94E-24,,,
SEC22C,2.21E-28,-0.277374721,0.119,0.079,6.20E-24,,,
LINC00922,2.29E-28,-3.103118181,0.008,0.027,6.43E-24,,,
AP3D1,2.30E-28,-0.339008492,0.153,0.105,6.45E-24,,,
MTFMT,2.35E-28,-0.257272639,0.116,0.077,6.59E-24,,,
DNAJC17,2.42E-28,-0.295531423,0.139,0.094,6.79E-24,,,
ZNF550,2.45E-28,-0.134193546,0.056,0.031,6.86E-24,,,
UBC,2.51E-28,-1.256617819,0.144,0.18,7.04E-24,,,
ABHD10,2.62E-28,-0.218618538,0.099,0.064,7.33E-24,,,
ARMCX4,2.69E-28,-0.287310459,0.421,0.301,7.53E-24,,,
NAE1,2.87E-28,-0.330861248,0.165,0.114,8.05E-24,,,
LIX1L-AS1,2.94E-28,0.276727942,0.028,0.013,8.24E-24,,,
UGGT2,2.97E-28,-0.276284593,0.456,0.33,8.32E-24,,,
ANGPTL8,3.03E-28,0.992545981,0.013,0.004,8.50E-24,,,
CCDC175,3.12E-28,1.078135579,0.012,0.003,8.75E-24,,,
FAM160A2,3.25E-28,-0.190289735,0.097,0.063,9.11E-24,,,
PELI2,3.26E-28,-1.388045647,0.145,0.18,9.14E-24,,,
SLC9A7,3.28E-28,-2.642163683,0.007,0.027,9.20E-24,,,
SLC4A3,3.28E-28,-2.370909925,0.006,0.024,9.20E-24,,,
LINC00471,3.46E-28,0.57674844,0.018,0.006,9.69E-24,,,
ACBD3,3.48E-28,-0.307685946,0.233,0.167,9.75E-24,,,
ANKRD9,3.53E-28,0.24860848,0.03,0.014,9.90E-24,,,
SSR2,3.55E-28,-1.461128454,0.066,0.101,9.96E-24,,,
MIR4713HG,3.60E-28,-2.903138229,0.008,0.027,1.01E-23,,,
SP3,3.64E-28,-0.971835429,0.278,0.294,1.02E-23,,,
AL392046.1,3.71E-28,0.83653433,0.015,0.005,1.04E-23,,,
CTSD,3.75E-28,-1.288926329,0.103,0.14,1.05E-23,,,
CLECL1,3.76E-28,-3.402051744,0.004,0.02,1.05E-23,,,
AC009313.1,3.87E-28,-2.984255392,0.008,0.028,1.08E-23,,,
DNAJB14,3.94E-28,-0.360463287,0.298,0.214,1.10E-23,,,
NUCB1-AS1,3.97E-28,-0.117965047,0.058,0.033,1.11E-23,,,
PARD3-AS1,4.07E-28,0.744269078,0.012,0.004,1.14E-23,,,
TXNL1,4.13E-28,-0.297177578,0.166,0.115,1.16E-23,,,
SP2,4.17E-28,-0.140840173,0.076,0.046,1.17E-23,,,
PLAUR,4.21E-28,-1.873405042,0.022,0.047,1.18E-23,,,
AC068675.1,4.38E-28,0.441063152,0.022,0.009,1.23E-23,,,
SAMD3,4.39E-28,-3.364239584,0.015,0.037,1.23E-23,,,
CAMTA2,4.41E-28,-0.212813882,0.088,0.056,1.24E-23,,,
PIK3CG,4.44E-28,-2.876708144,0.007,0.027,1.24E-23,,,
ZC3H7B,4.79E-28,-0.335540838,0.131,0.088,1.34E-23,,,
TMEM136,5.13E-28,-1.876027692,0.017,0.042,1.44E-23,,,
COL13A1,5.14E-28,0.520042084,0.019,0.007,1.44E-23,,,
BLNK,5.15E-28,-2.188015197,0.032,0.06,1.44E-23,,,
GATA6-AS1,5.15E-28,-1.843668799,0.024,0.05,1.44E-23,,,
KBTBD4,5.21E-28,0.106207978,0.033,0.015,1.46E-23,,,
LATS2-AS1,5.23E-28,-0.149908323,0.078,0.048,1.47E-23,,,
NT5M,5.24E-28,0.266017587,0.033,0.016,1.47E-23,,,
AP003168.2,5.29E-28,0.983986149,0.012,0.003,1.48E-23,,,
WDR1,5.39E-28,-1.677607853,0.039,0.07,1.51E-23,,,
FAM104A,5.50E-28,-0.232908019,0.107,0.07,1.54E-23,,,
AL138720.1,5.73E-28,0.275238435,0.028,0.013,1.61E-23,,,
BBIP1,5.75E-28,-0.332168827,0.121,0.08,1.61E-23,,,
AP003486.1,5.91E-28,0.34956341,0.023,0.009,1.66E-23,,,
MAP1LC3B,5.92E-28,-0.207743423,0.119,0.08,1.66E-23,,,
TMPRSS3,5.92E-28,-3.386531585,0.002,0.018,1.66E-23,,,
AC012184.2,5.99E-28,0.186613644,0.036,0.018,1.68E-23,,,
AC068152.1,6.08E-28,-0.350559336,0.207,0.146,1.70E-23,,,
CBLN2,6.24E-28,-2.989516721,0.004,0.021,1.75E-23,,,
APOBEC3G,6.28E-28,-3.156199463,0.007,0.026,1.76E-23,,,
CCDC90B,6.29E-28,-0.250208371,0.134,0.091,1.76E-23,,,
EPHA5,6.36E-28,-2.988319035,0.007,0.026,1.78E-23,,,
FHDC1,6.43E-28,-2.318113606,0.009,0.029,1.80E-23,,,
LINC00115,6.56E-28,0.319382903,0.026,0.011,1.84E-23,,,
CFB,6.58E-28,-2.555171148,0.006,0.024,1.84E-23,,,
PNO1,6.64E-28,0.15971647,0.048,0.026,1.86E-23,,,
RABAC1,6.65E-28,-1.462104286,0.06,0.094,1.86E-23,,,
ERVW-1,6.71E-28,1.092480648,0.012,0.003,1.88E-23,,,
AL136982.1,6.76E-28,0.675340339,0.021,0.008,1.90E-23,,,
FURIN,6.76E-28,0.197027725,0.041,0.021,1.90E-23,,,
ERI3,6.79E-28,-0.341011143,0.217,0.153,1.90E-23,,,
STAMBPL1,6.90E-28,-1.601037554,0.091,0.125,1.93E-23,,,
ELAC1,7.00E-28,0.295364104,0.025,0.011,1.96E-23,,,
ACSF3,7.09E-28,-0.16646634,0.111,0.073,1.99E-23,,,
AC023389.1,7.13E-28,-0.249629914,0.088,0.055,2.00E-23,,,
ADRB2,7.29E-28,0.168366432,0.027,0.012,2.04E-23,,,
PLTP,7.33E-28,-1.52345706,0.077,0.112,2.05E-23,,,
AC104836.1,7.55E-28,0.154705581,0.033,0.016,2.12E-23,,,
LHFPL3,7.98E-28,0.116225339,0.023,0.009,2.24E-23,,,
EMILIN1,8.12E-28,-2.223842386,0.014,0.036,2.27E-23,,,
AL391422.3,8.12E-28,0.832112965,0.015,0.005,2.28E-23,,,
GRID1,8.27E-28,-2.756419507,0.015,0.038,2.32E-23,,,
ADGRD1-AS1,8.30E-28,-4.362850583,0.001,0.015,2.33E-23,,,
RAB5B,8.75E-28,-0.226786101,0.101,0.065,2.45E-23,,,
PMM2,8.77E-28,-0.346581922,0.226,0.161,2.46E-23,,,
TGFB1I1,8.92E-28,-2.843877005,0.005,0.023,2.50E-23,,,
DNAJA2,9.36E-28,-0.153499095,0.084,0.052,2.62E-23,,,
AL121917.1,9.75E-28,0.163672662,0.032,0.015,2.73E-23,,,
AL390036.1,9.77E-28,-2.975966849,0.007,0.026,2.74E-23,,,
HLA-DQA1,1.04E-27,-1.951637841,0.037,0.066,2.91E-23,,,
GIMAP2,1.07E-27,-3.077948576,0.007,0.025,3.00E-23,,,
FMNL1,1.10E-27,-2.072745261,0.029,0.056,3.08E-23,,,
MALT1,1.10E-27,-1.308146793,0.121,0.157,3.10E-23,,,
FAM173A,1.18E-27,-0.140553114,0.057,0.033,3.30E-23,,,
ACSL5,1.20E-27,-1.480192433,0.052,0.085,3.36E-23,,,
AC083880.1,1.20E-27,1.30097727,0.01,0.002,3.37E-23,,,
CLNS1A,1.21E-27,-0.285978756,0.234,0.168,3.39E-23,,,
SERHL2,1.23E-27,-0.110031896,0.052,0.029,3.44E-23,,,
CD81,1.23E-27,-1.05098933,0.243,0.267,3.46E-23,,,
NSFL1C,1.24E-27,-0.218718003,0.108,0.071,3.48E-23,,,
ERH,1.26E-27,-0.237522722,0.116,0.077,3.52E-23,,,
LINC02055,1.26E-27,0.24404332,0.04,0.02,3.52E-23,,,
RPL37A,1.30E-27,-1.011583078,0.345,0.349,3.65E-23,,,
LDHC,1.31E-27,0.955712637,0.016,0.005,3.68E-23,,,
ARL16,1.33E-27,-0.231541596,0.082,0.051,3.72E-23,,,
ADCK1,1.33E-27,-0.132021229,0.069,0.041,3.73E-23,,,
AC011239.1,1.39E-27,0.848544025,0.015,0.005,3.90E-23,,,
AL118556.1,1.41E-27,-0.120783926,0.041,0.021,3.94E-23,,,
KAT14,1.44E-27,-0.114269207,0.066,0.039,4.04E-23,,,
PAFAH1B2,1.45E-27,-0.308823996,0.151,0.104,4.05E-23,,,
NCR3LG1,1.46E-27,-3.383338097,0.004,0.021,4.10E-23,,,
KAT8,1.47E-27,-0.222019671,0.089,0.057,4.12E-23,,,
SLC35B3,1.50E-27,-0.299902258,0.162,0.113,4.19E-23,,,
B3GAT3,1.60E-27,-0.131167057,0.075,0.046,4.48E-23,,,
LINC00641,1.61E-27,0.273285772,0.029,0.013,4.52E-23,,,
RNPS1,1.62E-27,-0.291167624,0.143,0.098,4.54E-23,,,
RWDD2B,1.62E-27,0.111641105,0.042,0.022,4.55E-23,,,
MNDA,1.64E-27,-2.287517575,0.014,0.036,4.60E-23,,,
SLC4A8,1.67E-27,-2.826645027,0.009,0.028,4.69E-23,,,
FLJ20021,1.79E-27,0.317599475,0.03,0.014,5.01E-23,,,
MSH5,1.79E-27,0.898534014,0.011,0.003,5.02E-23,,,
AL512422.2,1.81E-27,-3.158267164,0.004,0.021,5.07E-23,,,
AC090236.1,1.83E-27,1.465047186,0.01,0.002,5.14E-23,,,
NIN,1.84E-27,-1.332030709,0.117,0.153,5.15E-23,,,
EIF2AK1,1.89E-27,-0.24665196,0.152,0.105,5.29E-23,,,
SLC1A7,1.89E-27,-2.889465723,0.005,0.022,5.31E-23,,,
AL731566.2,1.93E-27,1.24634176,0.01,0.002,5.41E-23,,,
CHD6,1.96E-27,-0.918426447,0.337,0.339,5.50E-23,,,
RAB34,1.98E-27,-2.063244069,0.013,0.036,5.55E-23,,,
CASP8AP2,2.00E-27,-0.301289783,0.165,0.115,5.60E-23,,,
AC084357.2,2.03E-27,0.221199252,0.039,0.02,5.70E-23,,,
AP000757.1,2.04E-27,-4.541485607,0.002,0.017,5.70E-23,,,
CRY1,2.07E-27,-1.489255621,0.07,0.105,5.81E-23,,,
AC096992.2,2.10E-27,0.302272869,0.024,0.01,5.89E-23,,,
LCMT1,2.15E-27,-0.316774615,0.14,0.095,6.02E-23,,,
AC073316.3,2.15E-27,0.732831874,0.011,0.003,6.03E-23,,,
PTPDC1,2.18E-27,-0.329259935,0.167,0.116,6.12E-23,,,
NDUFS5,2.19E-27,-0.36045297,0.113,0.075,6.15E-23,,,
AC006213.2,2.22E-27,0.679938236,0.015,0.005,6.23E-23,,,
ICAM1,2.25E-27,-2.771384599,0.01,0.031,6.32E-23,,,
TVP23A,2.33E-27,-2.698384905,0.009,0.029,6.53E-23,,,
PCGF2,2.40E-27,-2.411113692,0.009,0.029,6.73E-23,,,
CTBP1,2.44E-27,-0.237721574,0.101,0.065,6.84E-23,,,
AC097537.1,2.45E-27,-7.080173315,0,0.014,6.86E-23,,,
AL590428.1,2.46E-27,-4.323372329,0.002,0.017,6.88E-23,,,
POLR1A,2.47E-27,-0.225688119,0.105,0.069,6.92E-23,,,
MYH10,2.48E-27,-1.172891048,0.24,0.26,6.94E-23,,,
HTT,2.50E-27,-0.342641394,0.309,0.223,7.00E-23,,,
CNOT2,2.59E-27,-0.282049775,0.441,0.318,7.25E-23,,,
STAB2,2.59E-27,-0.711109493,0.052,0.029,7.26E-23,,,
EDRF1,2.61E-27,-0.364993279,0.185,0.13,7.32E-23,,,
BRWD3,2.61E-27,-1.230736627,0.127,0.163,7.33E-23,,,
CEBPZ,2.63E-27,-0.355869264,0.221,0.158,7.38E-23,,,
PFKL,2.67E-27,-0.282012536,0.082,0.051,7.47E-23,,,
AL031590.1,2.72E-27,-3.771787126,0.003,0.019,7.61E-23,,,
SCN1B,2.76E-27,-3.353823526,0.004,0.022,7.74E-23,,,
DGKZ,2.91E-27,-0.194664674,0.078,0.048,8.16E-23,,,
AL135925.1,2.91E-27,0.404351575,0.029,0.013,8.16E-23,,,
AC011477.4,2.93E-27,-0.193844813,0.066,0.039,8.21E-23,,,
C9orf139,2.97E-27,-4.022894016,0.003,0.018,8.34E-23,,,
GTF3C5,2.99E-27,-0.130758174,0.07,0.042,8.37E-23,,,
FAM162B,3.01E-27,-3.152559541,0.009,0.029,8.44E-23,,,
CDKL4,3.07E-27,0.671487545,0.013,0.004,8.60E-23,,,
LIMD1,3.18E-27,-1.455794993,0.102,0.137,8.91E-23,,,
PAIP2B,3.21E-27,0.171542821,0.046,0.024,8.99E-23,,,
JAKMIP3,3.22E-27,0.32751884,0.026,0.011,9.03E-23,,,
POM121C,3.23E-27,-0.280507175,0.12,0.08,9.04E-23,,,
ELFN1,3.27E-27,-3.494184627,0.003,0.018,9.15E-23,,,
HOXB4,3.34E-27,-0.228613611,0.094,0.06,9.36E-23,,,
ZNF623,3.38E-27,-0.19429227,0.074,0.046,9.48E-23,,,
DIAPH3,3.41E-27,-2.306126632,0.029,0.056,9.55E-23,,,
TNFSF8,3.46E-27,-2.821952073,0.007,0.026,9.68E-23,,,
TMEM269,3.48E-27,0.351812777,0.022,0.009,9.75E-23,,,
BEND7,3.48E-27,-0.320434605,0.119,0.079,9.75E-23,,,
MIR503HG,3.52E-27,-3.906569942,0.004,0.021,9.85E-23,,,
GIT1,3.61E-27,-1.60204878,0.035,0.064,1.01E-22,,,
ANKEF1,3.65E-27,0.322486188,0.026,0.011,1.02E-22,,,
ADPRM,3.65E-27,-0.296527192,0.091,0.057,1.02E-22,,,
GIPR,3.72E-27,-2.691156479,0.005,0.023,1.04E-22,,,
AC012360.3,4.06E-27,0.112263263,0.035,0.017,1.14E-22,,,
SMC2-AS1,4.20E-27,0.914660852,0.011,0.003,1.18E-22,,,
UBASH3B,4.30E-27,-2.411502655,0.023,0.048,1.20E-22,,,
AC123768.3,4.30E-27,0.260965774,0.027,0.012,1.20E-22,,,
CHKB,4.34E-27,0.281440116,0.025,0.011,1.22E-22,,,
AP001610.1,4.49E-27,-5.192058494,0.001,0.015,1.26E-22,,,
AC006333.2,4.70E-27,0.449534722,0.026,0.011,1.32E-22,,,
SLC39A9,4.82E-27,-0.280063475,0.142,0.097,1.35E-22,,,
U73166.1,4.82E-27,0.347947075,0.027,0.012,1.35E-22,,,
YWHAH,4.97E-27,-1.62736498,0.029,0.057,1.39E-22,,,
AC005726.6,5.07E-27,0.222079181,0.028,0.012,1.42E-22,,,
TTC6,5.09E-27,0.179514993,0.019,0.007,1.43E-22,,,
USP31,5.12E-27,-1.452973043,0.082,0.116,1.44E-22,,,
PXK,5.25E-27,-0.381892274,0.209,0.149,1.47E-22,,,
ZCCHC24,5.30E-27,-0.388016227,0.164,0.114,1.49E-22,,,
MOSPD2,5.39E-27,-0.206380526,0.147,0.102,1.51E-22,,,
NR4A1,5.61E-27,-2.643033328,0.016,0.039,1.57E-22,,,
LINC01905,6.39E-27,-2.974350821,0.006,0.023,1.79E-22,,,
RNF182,6.76E-27,-2.869699703,0.004,0.02,1.90E-22,,,
STX3,6.80E-27,-1.920747107,0.031,0.058,1.90E-22,,,
MAN1A2,6.81E-27,-0.312108987,0.343,0.25,1.91E-22,,,
RPS5,6.85E-27,-1.328440452,0.143,0.178,1.92E-22,,,
AC074031.1,6.93E-27,-1.906535243,0.033,0.06,1.94E-22,,,
LRRK2,7.14E-27,-1.419133807,0.102,0.137,2.00E-22,,,
SCAF8,7.19E-27,-0.284763406,0.449,0.324,2.01E-22,,,
PMVK,7.38E-27,-0.109286224,0.085,0.054,2.07E-22,,,
FOXO6,7.64E-27,-2.475327012,0.006,0.023,2.14E-22,,,
AP1M1,8.02E-27,-0.235993037,0.094,0.061,2.25E-22,,,
ARHGAP12,8.26E-27,-0.378910316,0.329,0.237,2.32E-22,,,
LPCAT3,8.45E-27,-0.308688007,0.167,0.117,2.37E-22,,,
POLK,8.51E-27,-0.288180818,0.407,0.295,2.39E-22,,,
ADCK5,8.52E-27,0.124811066,0.035,0.017,2.39E-22,,,
NR2C1,8.76E-27,-0.289900858,0.213,0.152,2.46E-22,,,
THAP7-AS1,8.91E-27,0.318523412,0.026,0.011,2.50E-22,,,
FBXW5,9.13E-27,-0.232431573,0.082,0.052,2.56E-22,,,
AC087276.3,9.19E-27,0.123219583,0.038,0.019,2.58E-22,,,
AC020765.2,9.26E-27,0.467779642,0.021,0.008,2.60E-22,,,
PPIH,9.27E-27,-0.209737436,0.08,0.05,2.60E-22,,,
PWP1,9.35E-27,-0.338949576,0.143,0.098,2.62E-22,,,
TSPAN9,9.45E-27,-0.504868592,0.203,0.143,2.65E-22,,,
ADAMTS10,9.76E-27,-0.159715786,0.102,0.067,2.74E-22,,,
AL021707.2,9.77E-27,0.27521197,0.025,0.011,2.74E-22,,,
AL451085.2,9.78E-27,0.126796767,0.033,0.016,2.74E-22,,,
LINC01024,9.80E-27,0.177995392,0.023,0.01,2.75E-22,,,
AC090971.2,9.93E-27,-1.685787897,0.043,0.073,2.78E-22,,,
GYPE,1.03E-26,0.560423236,0.016,0.005,2.88E-22,,,
LPIN2,1.06E-26,-0.382368083,0.182,0.128,2.96E-22,,,
AC016831.6,1.09E-26,0.695297959,0.013,0.004,3.05E-22,,,
AC022424.2,1.13E-26,-4.450592014,0.003,0.019,3.18E-22,,,
AC016831.1,1.14E-26,-0.308598006,0.252,0.182,3.19E-22,,,
PIK3C2G,1.16E-26,-2.792045701,0.017,0.039,3.26E-22,,,
FLOT1,1.17E-26,-1.472442934,0.081,0.115,3.27E-22,,,
DDX10,1.19E-26,-1.135163363,0.202,0.23,3.35E-22,,,
COPB1,1.20E-26,-0.277303758,0.21,0.151,3.36E-22,,,
ANPEP,1.22E-26,-2.924103476,0.006,0.023,3.41E-22,,,
FBXW2,1.23E-26,-0.317074781,0.143,0.098,3.45E-22,,,
LPCAT1,1.24E-26,-2.071613048,0.017,0.041,3.48E-22,,,
AC005775.1,1.29E-26,0.787580944,0.015,0.005,3.62E-22,,,
AC009754.1,1.31E-26,0.628281483,0.015,0.005,3.66E-22,,,
CNPY3,1.31E-26,-1.730348342,0.027,0.053,3.67E-22,,,
RPRM,1.36E-26,-2.906649879,0.003,0.019,3.82E-22,,,
LINC01703,1.38E-26,0.661305042,0.017,0.006,3.87E-22,,,
LRRC4C,1.40E-26,-2.379891085,0.031,0.058,3.91E-22,,,
AL021453.1,1.41E-26,0.37863517,0.02,0.008,3.96E-22,,,
MKRN2,1.43E-26,-0.150506366,0.085,0.054,4.01E-22,,,
PREP,1.49E-26,-0.357095905,0.142,0.098,4.17E-22,,,
PAN3,1.50E-26,-0.660418692,0.559,0.489,4.21E-22,,,
AC027130.1,1.52E-26,0.228957055,0.034,0.017,4.25E-22,,,
ZBTB21,1.54E-26,0.113834965,0.048,0.027,4.32E-22,,,
AC022098.1,1.55E-26,-0.186703555,0.069,0.042,4.35E-22,,,
GSK3B,1.60E-26,-0.278513621,0.48,0.345,4.49E-22,,,
NPC2,1.69E-26,-1.246626338,0.141,0.175,4.74E-22,,,
NKD1,1.71E-26,-2.109194098,0.019,0.043,4.80E-22,,,
TRPV2,1.74E-26,-2.560806663,0.008,0.027,4.88E-22,,,
AC130650.1,1.76E-26,-0.382370423,0.051,0.028,4.94E-22,,,
MAPK6,1.81E-26,-0.371993239,0.164,0.114,5.08E-22,,,
PLD2,1.82E-26,-2.329544826,0.012,0.034,5.10E-22,,,
RNFT2,1.85E-26,0.228067401,0.02,0.008,5.18E-22,,,
MXD4,1.85E-26,-0.333290376,0.146,0.101,5.20E-22,,,
TRIB2,1.87E-26,-2.316785261,0.016,0.039,5.25E-22,,,
PPID,1.89E-26,-0.202165749,0.082,0.052,5.31E-22,,,
DIDO1,1.94E-26,-0.315686717,0.28,0.203,5.44E-22,,,
ADCY3,1.94E-26,-1.681067906,0.065,0.097,5.44E-22,,,
MEIS1-AS3,1.94E-26,-2.517030696,0.007,0.025,5.45E-22,,,
ZNF213-AS1,1.97E-26,-0.176487992,0.09,0.058,5.52E-22,,,
CLEC1A,1.98E-26,-3.59827164,0.004,0.02,5.56E-22,,,
ADAT2,2.00E-26,-0.149577611,0.09,0.058,5.59E-22,,,
ZNF706,2.05E-26,-0.315594083,0.246,0.178,5.74E-22,,,
IGSF1,2.12E-26,0.904684905,0.012,0.003,5.94E-22,,,
PPM1N,2.12E-26,-2.772272522,0.003,0.019,5.94E-22,,,
CADM3-AS1,2.17E-26,-4.060374462,0.002,0.016,6.10E-22,,,
AC006160.1,2.21E-26,-0.331152257,0.09,0.058,6.20E-22,,,
CAAP1,2.22E-26,-0.250270257,0.164,0.115,6.23E-22,,,
DYNLT1,2.25E-26,-0.276378532,0.18,0.128,6.29E-22,,,
ERI1,2.40E-26,-0.191777139,0.105,0.069,6.74E-22,,,
HEPH,2.41E-26,-3.186989324,0.005,0.022,6.74E-22,,,
SPPL2B,2.46E-26,-0.160069858,0.092,0.059,6.89E-22,,,
ZNF510,2.46E-26,-0.125267079,0.072,0.044,6.90E-22,,,
AC087276.2,2.49E-26,0.721375695,0.013,0.004,6.97E-22,,,
VCL,2.51E-26,-0.40855901,0.319,0.23,7.02E-22,,,
AXL,2.51E-26,-1.503849802,0.072,0.105,7.03E-22,,,
LTA4H,2.61E-26,-1.429520878,0.1,0.134,7.32E-22,,,
AZIN1,2.64E-26,-0.391007815,0.263,0.189,7.41E-22,,,
AP3M2,2.70E-26,-0.253327814,0.091,0.058,7.57E-22,,,
MFN2,2.77E-26,-0.137808349,0.072,0.044,7.76E-22,,,
PLXDC1,2.77E-26,-2.344031413,0.021,0.045,7.77E-22,,,
AL358072.1,2.95E-26,0.584420731,0.015,0.005,8.27E-22,,,
HSP90AB1,3.11E-26,-1.313684995,0.14,0.174,8.71E-22,,,
INTS14,3.14E-26,-0.223714459,0.079,0.049,8.80E-22,,,
KCNC4,3.16E-26,-1.925184137,0.013,0.034,8.85E-22,,,
LTN1,3.19E-26,-0.362631656,0.212,0.152,8.93E-22,,,
SLC37A1,3.28E-26,-1.899399036,0.02,0.044,9.18E-22,,,
CPD,3.31E-26,-0.41839085,0.161,0.112,9.27E-22,,,
SF3B2,3.32E-26,-0.338846774,0.142,0.098,9.30E-22,,,
AP000845.1,3.33E-26,0.995886601,0.012,0.004,9.34E-22,,,
HIF1AN,3.34E-26,-0.266856453,0.097,0.063,9.36E-22,,,
SGSM1,3.38E-26,-2.487609371,0.012,0.033,9.48E-22,,,
WARS,3.39E-26,-1.811321893,0.034,0.062,9.50E-22,,,
AJUBA,3.51E-26,-2.501935699,0.003,0.019,9.85E-22,,,
DLGAP2,3.60E-26,-1.610752087,0.128,0.16,1.01E-21,,,
VASN,3.66E-26,-2.010393838,0.015,0.037,1.02E-21,,,
ERLEC1,3.83E-26,-0.341226776,0.148,0.102,1.07E-21,,,
LINC01625,3.85E-26,1.01336507,0.01,0.003,1.08E-21,,,
C3AR1,3.86E-26,-1.795505239,0.027,0.053,1.08E-21,,,
CEP85L,3.95E-26,-1.222639983,0.199,0.226,1.11E-21,,,
LILRB4,3.96E-26,-2.194585954,0.011,0.031,1.11E-21,,,
ZBTB11,4.13E-26,-0.385648961,0.133,0.091,1.16E-21,,,
MID1IP1-AS1,4.15E-26,1.115826962,0.011,0.003,1.16E-21,,,
SLC52A1,4.22E-26,0.433358461,0.014,0.005,1.18E-21,,,
SPI1,4.52E-26,-1.830756266,0.027,0.052,1.27E-21,,,
RPGR,4.62E-26,-1.665909159,0.047,0.078,1.30E-21,,,
TXNDC11,4.71E-26,-0.311621779,0.15,0.104,1.32E-21,,,
NUMBL,4.83E-26,-0.157421879,0.079,0.049,1.35E-21,,,
OSBPL8,5.03E-26,-0.35990067,0.39,0.283,1.41E-21,,,
GGCX,5.19E-26,-0.273232183,0.084,0.054,1.45E-21,,,
PCNP,5.38E-26,-0.34683756,0.221,0.159,1.51E-21,,,
MUC6,5.46E-26,-2.757388152,0.011,0.031,1.53E-21,,,
AL357507.1,5.48E-26,-3.368790518,0.021,0.045,1.53E-21,,,
GDF5,5.61E-26,1.396645751,0.011,0.003,1.57E-21,,,
CSDC2,5.61E-26,-2.648582379,0.007,0.025,1.57E-21,,,
TM2D1,5.64E-26,-0.341550902,0.297,0.216,1.58E-21,,,
PHF12,5.73E-26,-0.330898588,0.118,0.079,1.61E-21,,,
FAM177B,5.83E-26,-4.007890911,0.004,0.019,1.63E-21,,,
KIAA1456,5.87E-26,-0.368895098,0.046,0.025,1.65E-21,,,
OTOGL,5.89E-26,-3.708450833,0.003,0.018,1.65E-21,,,
AC010300.1,5.93E-26,0.91748966,0.012,0.003,1.66E-21,,,
MORC3,6.23E-26,-0.353878094,0.297,0.215,1.75E-21,,,
CKAP5,6.24E-26,-0.381750561,0.185,0.131,1.75E-21,,,
USP9X,6.28E-26,-0.28900763,0.391,0.285,1.76E-21,,,
DPF2,6.42E-26,-0.288706409,0.13,0.089,1.80E-21,,,
LINC01483,6.78E-26,0.776158969,0.018,0.007,1.90E-21,,,
CCDC85C,6.81E-26,-1.683036264,0.043,0.073,1.91E-21,,,
CYSLTR1,6.83E-26,-2.652433297,0.007,0.025,1.91E-21,,,
LPXN,6.85E-26,-0.315058942,0.138,0.095,1.92E-21,,,
C8orf37-AS1,6.90E-26,-0.235083309,0.123,0.084,1.93E-21,,,
GIN1,7.06E-26,-0.106701605,0.08,0.051,1.98E-21,,,
